Day,Month,Year,Tmin(C),Tmax(C),Pcrp(mm),ET0(mm),,,
15,5,2019,9.5,29.86,0,5.01,,,
16,5,2019,11.94,31.15,0,6.39,,,
17,5,2019,12.15,28.97,0,5.93,,,
18,5,2019,8.86,23.41,0,6.07,,,
19,5,2019,4.79,25.48,0,5.13,,,
20,5,2019,10.45,24.7,0,5.87,,,
21,5,2019,4.93,21,0,5.62,,,
22,5,2019,4.73,29.35,0,5.25,,,
23,5,2019,11.44,26.97,0,4.16,,,
24,5,2019,7.84,29.21,0,4.09,,,
25,5,2019,15.61,26.77,5.84,3.31,,,
26,5,2019,11.94,28.57,8.38,4.87,,,
27,5,2019,11.81,29.11,0.25,5.66,,,
28,5,2019,10.55,25.51,0,5.56,,,
29,5,2019,10.11,21.61,0,3.52,,,
30,5,2019,7.2,24.63,8.64,3.75,,,
31,5,2019,9.54,27.48,0,3.68,,,
1,6,2019,13.51,30.88,14.99,7.23,,,
2,6,2019,12.62,25.85,1.02,5.13,,,
3,6,2019,12.39,28.63,0,6.26,,,
4,6,2019,10.89,29.79,8.89,7.12,,,
5,6,2019,8.92,25.51,15.24,5,,,
6,6,2019,12.01,26.26,0,5.9,,,
7,6,2019,14.9,30.23,0,6.88,,,
8,6,2019,15.81,34.08,0,8.61,,,
9,6,2019,12.35,21.65,0,5.18,,,
10,6,2019,11.91,22.97,0,6.1,,,
11,6,2019,11.13,30.99,0,7.62,,,
12,6,2019,13.2,25.21,0,6.97,,,
13,6,2019,12.59,30.88,0.76,8.78,,,
14,6,2019,16.29,36.39,0,10.68,,,
15,6,2019,11.98,33.81,0,9.15,,,
16,6,2019,14.66,26.81,0,5.87,,,
17,6,2019,13.98,29.83,6.86,6.72,,,
18,6,2019,13,31.19,0,7.74,,,
19,6,2019,11.74,32.96,0,8.17,,,
20,6,2019,14.05,36.76,0,9.29,,,
21,6,2019,13.64,36.18,0,11.7,,,
22,6,2019,14.05,31.53,0,8.11,,,
