Day,Month,Year,Tmin(C),Tmax(C),Pcrp(mm),ET0(mm)
15,5,2020,10.11,27.72,0,4.13
16,5,2020,9.78,27.44,0,3.91
17,5,2020,11.33,29.61,0,4.3
18,5,2020,12,36,0,5.25
19,5,2020,12.78,36,0,6.77
20,5,2020,15.78,33.72,0,7.01
21,5,2020,11.72,30.44,0,6.24
22,5,2020,10.94,30.5,0,5.09
23,5,2020,8.61,32.83,0,6.5
24,5,2020,13.61,30.5,0,5.45
25,5,2020,8.94,19.44,0,3.06
26,5,2020,7.06,27.11,0,3.92
27,5,2020,10.39,30.22,0,4.04
28,5,2020,12.83,28.5,0,4.06
29,5,2020,11.06,30.67,0,4.95
30,5,2020,13.89,30.78,0,6.49
31,5,2020,12.94,30.39,0,5.37
1,6,2020,12.06,29.44,0,7.97
2,6,2020,13.11,31.94,0,8.16
3,6,2020,15.83,33.33,0,7.38
4,6,2020,16.61,37.94,0,10.19
5,6,2020,16.28,36.33,0,11.12
6,6,2020,17.11,34.44,0,11.09
7,6,2020,16.83,36.28,0,12.51
8,6,2020,16.56,34.78,0,10.79
9,6,2020,11.28,25.94,0,9.69
10,6,2020,7.56,29.44,0,8.37
11,6,2020,12.83,33.33,0,10.88
12,6,2020,14.72,32.83,0,10.17
13,6,2020,14.83,32.94,0,11.28
14,6,2020,15.67,32.5,0,10.71
15,6,2020,15.22,31.06,0,9.8
16,6,2020,14.44,31.17,0,9.34
17,6,2020,18.89,36.44,0,11.56
18,6,2020,16.56,33.56,0,9.83
19,6,2020,17.33,33.28,0,8.62
20,6,2020,14.33,31.44,0,8.52
21,6,2020,14.94,37.67,0,10.08
22,6,2020,15.22,34.17,7.11,9.24
23,6,2020,15.22,29.44,16.26,7.4
24,6,2020,15.06,30.67,0,7.83
25,6,2020,17.11,33.44,0.51,10.4
26,6,2020,19.33,35.67,2.79,10.02
27,6,2020,17.33,35.17,0,9.96
28,6,2020,17.33,34.83,0,9.61
29,6,2020,16.83,34.94,0,10.66
30,6,2020,16.89,34,0,11.64
1,7,2020,13.89,35.11,0,8.71
2,7,2020,20.06,34.17,0,7.31
3,7,2020,19.33,34.06,0,7.96
4,7,2020,16.11,33.11,35.05,7.01
5,7,2020,17.11,29.11,6.6,6.33
6,7,2020,16.5,30.22,0,6.53
7,7,2020,17.5,32.17,0,7.35
8,7,2020,19.5,37.11,0,9.9
9,7,2020,20.72,39.67,0,10.11
10,7,2020,19.56,39.56,0,9.95
11,7,2020,21.33,40.5,0,10.92
12,7,2020,20.17,39,1.02,10.03
13,7,2020,19.61,39.78,0,10.3
14,7,2020,20.17,39.83,0,10.55
15,7,2020,18.28,34.72,1.52,8.39
16,7,2020,16.83,35.06,0.25,8.81
17,7,2020,19.78,36.94,6.86,10.18
18,7,2020,20.56,36.06,0.76,8.84
19,7,2020,18.83,33.33,3.3,7.87
20,7,2020,17.22,31.11,21.08,7.63
21,7,2020,17.56,31.06,4.83,6.78
22,7,2020,17.5,32.06,0,6.53
23,7,2020,19.5,30.06,0,5.64
24,7,2020,19.17,31.61,1.52,7.07
25,7,2020,18.44,32.33,0,7.41
26,7,2020,18.44,32.22,0,7.33
27,7,2020,18.72,30.72,0.51,5.18
28,7,2020,17.94,31.78,7.87,6.12
29,7,2020,18.67,33.89,0,7.18
30,7,2020,20.06,31.44,0,8.34
31,7,2020,15.78,29.83,0,6.88
1,8,2020,14.56,32.11,0,7.42
2,8,2020,16.22,33.94,3.56,6.94
3,8,2020,14.94,31.44,0.25,6.92
4,8,2020,16.83,35.72,0,8.58
5,8,2020,16.94,33.56,0,8.03
6,8,2020,18.67,36,0,8.28
7,8,2020,18.72,35.72,0,9.46
8,8,2020,18.78,35.61,4.32,9.24
9,8,2020,18.89,35.39,0,8.33
10,8,2020,16.78,35.94,0,8.47
11,8,2020,20.94,37.78,0,9.73
12,8,2020,19.33,38.67,0,8.73
13,8,2020,20.61,38,0,9.39
14,8,2020,20.22,37.67,0,7.88
15,8,2020,18.11,35.56,0,7.64
16,8,2020,15.83,33.28,0,7.7
17,8,2020,16.11,32.61,0,6.95
18,8,2020,14.33,33.33,0,6.55
19,8,2020,15.56,35.67,0,8.55
20,8,2020,16.33,34.06,0,7.93
21,8,2020,16.11,33.89,3.05,7.25
22,8,2020,15.56,35.22,0,6.72
23,8,2020,16.61,34.78,0,7.58
24,8,2020,17.11,32.28,1.78,7.58
25,8,2020,13.11,32.5,0,7.03
26,8,2020,14.78,33.56,0,7.94
27,8,2020,15.56,35.11,0,7.83
28,8,2020,18.44,37.39,0,9.52
29,8,2020,17,33.67,0,7.15
30,8,2020,16.5,33.72,0,6.63
31,8,2020,16.22,28.83,0,5.47
1,9,2020,15,33.56,0.51,7.43
2,9,2020,15.22,30.22,0,5.53
3,9,2020,13.67,34.5,0,7.41
4,9,2020,13.89,32.61,0,6.61
5,9,2020,13.44,31.67,0,6.3
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
